Year,Volume,Issue,URL
1963,8,1,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24299&punumber=9
1963,8,2,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24300&punumber=9
1963,8,3,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24301&punumber=9
1963,8,4,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24302&punumber=9
1964,9,1,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24303&punumber=9
1964,9,2,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24304&punumber=9
1964,9,3,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24305&punumber=9
1964,9,4,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24306&punumber=9
1965,10,1,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24085&punumber=9
1965,10,2,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24086&punumber=9
1965,10,3,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24087&punumber=9
1965,10,4,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24088&punumber=9
1966,11,1,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24089&punumber=9
1966,11,2,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24090&punumber=9
1966,11,3,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24091&punumber=9
1966,11,4,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24092&punumber=9
1967,12,1,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24093&punumber=9
1967,12,2,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24094&punumber=9
1967,12,3,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24095&punumber=9
1967,12,4,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24096&punumber=9
1967,12,5,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24097&punumber=9
1967,12,6,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24098&punumber=9
1968,13,1,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24099&punumber=9
1968,13,2,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24100&punumber=9
1968,13,3,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24101&punumber=9
1968,13,4,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24102&punumber=9
1968,13,5,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24103&punumber=9
1968,13,6,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24104&punumber=9
1969,14,1,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24105&punumber=9
1969,14,2,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24106&punumber=9
1969,14,3,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24107&punumber=9
1969,14,4,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24108&punumber=9
1969,14,5,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24109&punumber=9
1969,14,6,https://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=24110&punumber=9
